RouteSurKey,Organization_Name,Time,Location,latitude,longitude,mean
1157,EPA,1/21/2017,LIBERTY SCHOOL,41.864426,-87.748902,13.28333333
1158,EPA,1/21/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,10.74166667
1159,EPA,1/21/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,15.225
1160,EPA,1/21/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,12.25416667
1161,EPA,1/21/2017,VILLAGE GARAGE,41.670992,-87.732457,7.933333333
1162,EPA,1/21/2017,WASHINGTON HS,41.687165,-87.539315,8.8
1163,EPA,1/22/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,11.9125
1164,EPA,1/22/2017,GRAVES ES,41.782766,-87.805377,15.9
1165,EPA,1/22/2017,IEPA TRAILER,41.965193,-87.876265,13
1166,EPA,1/22/2017,LIBERTY SCHOOL,41.864426,-87.748902,16.54166667
1167,EPA,1/22/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,13.1
1168,EPA,1/22/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,10.56666667
1169,EPA,1/22/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,13.74166667
1170,EPA,1/22/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,15.15833333
1171,EPA,1/22/2017,VILLAGE GARAGE,41.670992,-87.732457,10.54166667
1172,EPA,1/22/2017,VILLAGE HALL,41.80118,-87.832349,15.7
1173,EPA,1/22/2017,WASHINGTON HS,41.687165,-87.539315,7.8
1174,EPA,1/23/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,9.408333333
1175,EPA,1/23/2017,LIBERTY SCHOOL,41.864426,-87.748902,10.75833333
1176,EPA,1/23/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,8.104166667
1177,EPA,1/23/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,9.0375
1178,EPA,1/23/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.704166667
1179,EPA,1/23/2017,VILLAGE GARAGE,41.670992,-87.732457,7.670833333
1180,EPA,1/24/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,11.51666667
1181,EPA,1/24/2017,LIBERTY SCHOOL,41.864426,-87.748902,12.14166667
1182,EPA,1/24/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,7.275
1183,EPA,1/24/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,9.383333333
1184,EPA,1/24/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,8.254166667
1185,EPA,1/24/2017,VILLAGE GARAGE,41.670992,-87.732457,9.15
1186,EPA,1/25/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,12.928
1187,EPA,1/25/2017,GRAVES ES,41.782766,-87.805377,13.6
1188,EPA,1/25/2017,IEPA TRAILER,41.965193,-87.876265,13.2
1189,EPA,1/25/2017,LIBERTY SCHOOL,41.864426,-87.748902,13.896
1190,EPA,1/25/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,12.2
1191,EPA,1/25/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,10.908
1192,EPA,1/25/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,12.77916667
1193,EPA,1/25/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,11.672
1194,EPA,1/25/2017,VILLAGE GARAGE,41.670992,-87.732457,10.504
1195,EPA,1/25/2017,VILLAGE HALL,41.80118,-87.832349,13.5
1196,EPA,1/25/2017,WASHINGTON HS,41.687165,-87.539315,13.2
1197,EPA,1/26/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,3.516666667
1198,EPA,1/26/2017,LIBERTY SCHOOL,41.864426,-87.748902,7.591666667
1199,EPA,1/26/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,4.479166667
1200,EPA,1/26/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,4.333333333
1201,EPA,1/26/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,2.483333333
1202,EPA,1/26/2017,VILLAGE GARAGE,41.670992,-87.732457,4.141666667
1203,EPA,1/27/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,6.8625
1204,EPA,1/27/2017,LIBERTY SCHOOL,41.864426,-87.748902,9.1
1205,EPA,1/27/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,6.458333333
1206,EPA,1/27/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.466666667
1207,EPA,1/27/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,5.670833333
1208,EPA,1/27/2017,VILLAGE GARAGE,41.670992,-87.732457,5.891666667
1209,EPA,1/28/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,11.05416667
1210,EPA,1/28/2017,GRAVES ES,41.782766,-87.805377,11.7
1211,EPA,1/28/2017,IEPA TRAILER,41.965193,-87.876265,
1212,EPA,1/28/2017,LIBERTY SCHOOL,41.864426,-87.748902,12.47083333
1213,EPA,1/28/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,12.7
1214,EPA,1/28/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,12.992
1215,EPA,1/28/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,12.45416667
1216,EPA,1/28/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,11.80416667
1217,EPA,1/28/2017,VILLAGE GARAGE,41.670992,-87.732457,8.879166667
1218,EPA,1/28/2017,VILLAGE HALL,41.80118,-87.832349,12
1219,EPA,1/28/2017,WASHINGTON HS,41.687165,-87.539315,12.6
1220,EPA,1/29/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,7.1
1221,EPA,1/29/2017,LIBERTY SCHOOL,41.864426,-87.748902,8.320833333
1222,EPA,1/29/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,5.354166667
1223,EPA,1/29/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.3375
1224,EPA,1/29/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.466666667
1225,EPA,1/29/2017,VILLAGE GARAGE,41.670992,-87.732457,6.016666667
1226,EPA,1/30/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,4.395833333
1227,EPA,1/30/2017,LIBERTY SCHOOL,41.864426,-87.748902,6.829166667
1228,EPA,1/30/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,5.291666667
1229,EPA,1/30/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,5.7625
1230,EPA,1/30/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,3.616666667
1231,EPA,1/30/2017,VILLAGE GARAGE,41.670992,-87.732457,3.495833333
1232,EPA,1/31/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,5.6875
1233,EPA,1/31/2017,GRAVES ES,41.782766,-87.805377,5.3
1234,EPA,1/31/2017,IEPA TRAILER,41.965193,-87.876265,6.3
1235,EPA,1/31/2017,LIBERTY SCHOOL,41.864426,-87.748902,8.984
1236,EPA,1/31/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,5.3
1237,EPA,1/31/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,7.292
1238,EPA,1/31/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.4
1239,EPA,1/31/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,6.264
1240,EPA,1/31/2017,VILLAGE GARAGE,41.670992,-87.732457,5.972
1241,EPA,1/31/2017,VILLAGE HALL,41.80118,-87.832349,5.1
1242,EPA,1/31/2017,WASHINGTON HS,41.687165,-87.539315,6.05
1243,EPA,2/1/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,6.8375
1244,EPA,2/1/2017,LIBERTY SCHOOL,41.864426,-87.748902,7.916666667
1245,EPA,2/1/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,5.4875
1246,EPA,2/1/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.208333333
1247,EPA,2/1/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,4.7875
1248,EPA,2/1/2017,VILLAGE GARAGE,41.670992,-87.732457,5.5625
1249,EPA,2/2/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,3.266666667
1250,EPA,2/2/2017,LIBERTY SCHOOL,41.864426,-87.748902,7.145833333
1251,EPA,2/2/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,5.579166667
1252,EPA,2/2/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.279166667
1253,EPA,2/2/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,4.3375
1254,EPA,2/2/2017,VILLAGE GARAGE,41.670992,-87.732457,3.8125
1255,EPA,2/3/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,5.604545455
